1 ----> uni0001	
12565 ----> uni3115	ㄕ
12566 ----> uni3116	ㄖ
12567 ----> uni3117	ㄗ
12568 ----> uni3118	ㄘ
12569 ----> uni3119	ㄙ
12570 ----> uni311A	ㄚ
12571 ----> uni311B	ㄛ
12572 ----> uni311C	ㄜ
12573 ----> uni311D	ㄝ
12574 ----> uni311E	ㄞ
12575 ----> uni311F	ㄟ
12576 ----> uni3120	ㄠ
12577 ----> uni3121	ㄡ
12578 ----> uni3122	ㄢ
12579 ----> uni3123	ㄣ
12580 ----> uni3124	ㄤ
12581 ----> uni3125	ㄥ
12582 ----> uni3126	ㄦ
12583 ----> uni3127	ㄧ
12584 ----> uni3128	ㄨ
12585 ----> uni3129	ㄩ
19969 ----> uni4E01	丁
20013 ----> uni4E2D	中
20141 ----> uni4EAD	亭
20223 ----> uni4EFF	仿
20791 ----> uni5137	儷
21208 ----> uni52D8	勘
21360 ----> uni5370	印
21476 ----> uni53E4	古
21776 ----> uni5510	唐
22291 ----> uni5713	圓
22577 ----> uni5831	報
22696 ----> uni58A8	墨
22806 ----> uni5916	外
22899 ----> uni5973	女
23043 ----> uni5A03	娃
23383 ----> uni5B57	字
23435 ----> uni5B8B	宋
23569 ----> uni5C11	少
24067 ----> uni5E03	布
24118 ----> uni5E36	帶
24247 ----> uni5EB7	康
24425 ----> uni5F69	彩
25778 ----> uni64B2	撲
25991 ----> uni6587	文
26032 ----> uni65B0	新
26126 ----> uni660E	明
26360 ----> uni66F8	書
26999 ----> uni6977	楷
27161 ----> uni6A19	標
27969 ----> uni6D41	流
28023 ----> uni6D77	海
29305 ----> uni7279	特
30246 ----> uni7626	瘦
30456 ----> uni76F8	相
30707 ----> uni77F3	石
30865 ----> uni7891	碑
31461 ----> uni7AE5	童
31686 ----> uni7BC6	篆
31777 ----> uni7C21	簡
31895 ----> uni7C97	粗
32048 ----> uni7D30	細
32156 ----> uni7D9C	綜
32218 ----> uni7DDA	線
33775 ----> uni83EF	華
33865 ----> uni8449	葉
34269 ----> uni85DD	藝
34892 ----> uni884C	行
36229 ----> uni8D85	超
37329 ----> uni91D1	金
38272 ----> uni9580	門
38584 ----> uni96B8	隸
38597 ----> uni96C5	雅
38598 ----> uni96C6	集
39080 ----> uni98A8	風
39636 ----> uni9AD4	體
39759 ----> uni9B4F	魏
40657 ----> uni9ED1	黑
40845 ----> uni9F8D	龍
57344 ----> uniE000	
57345 ----> uniE001	
57346 ----> uniE002	
57347 ----> uniE003	
57348 ----> uniE004	
57349 ----> uniE005	
57350 ----> uniE006	
57351 ----> uniE007	
57352 ----> uniE008	
57353 ----> uniE009	
57354 ----> uniE00A	
57355 ----> uniE00B	
57356 ----> uniE00C	
57357 ----> uniE00D	
57358 ----> uniE00E	
57359 ----> uniE00F	
57360 ----> uniE010	
57361 ----> uniE011	
57362 ----> uniE012	
57363 ----> uniE013	
57364 ----> uniE014	
57365 ----> uniE015	
57366 ----> uniE016	
57367 ----> uniE017	
57368 ----> uniE018	
57369 ----> uniE019	
57370 ----> uniE01A	
57371 ----> uniE01B	
57372 ----> uniE01C	
57373 ----> uniE01D	
57374 ----> uniE01E	
57375 ----> uniE01F	
57376 ----> uniE020	
57377 ----> uniE021	
57378 ----> uniE022	
57379 ----> uniE023	
57380 ----> uniE024	
57381 ----> uniE025	
57382 ----> uniE026	
57383 ----> uniE027	
57384 ----> uniE028	
57385 ----> uniE029	
57386 ----> uniE02A	
57387 ----> uniE02B	
57388 ----> uniE02C	
57389 ----> uniE02D	
57390 ----> uniE02E	
57391 ----> uniE02F	
57392 ----> uniE030	
57393 ----> uniE031	
57394 ----> uniE032	
57395 ----> uniE033	
57396 ----> uniE034	
57397 ----> uniE035	
57398 ----> uniE036	
57399 ----> uniE037	
57400 ----> uniE038	
57401 ----> uniE039	
57402 ----> uniE03A	
57403 ----> uniE03B	
57404 ----> uniE03C	
57405 ----> uniE03D	
57406 ----> uniE03E	
57407 ----> uniE03F	
57408 ----> uniE040	
57409 ----> uniE041	
57410 ----> uniE042	
57411 ----> uniE043	
57412 ----> uniE044	
57413 ----> uniE045	
57414 ----> uniE046	
57415 ----> uniE047	
57416 ----> uniE048	
57417 ----> uniE049	
57418 ----> uniE04A	
57419 ----> uniE04B	
57420 ----> uniE04C	
57421 ----> uniE04D	
57422 ----> uniE04E	
57423 ----> uniE04F	
57424 ----> uniE050	
57425 ----> uniE051	
57426 ----> uniE052	
57427 ----> uniE053	
57428 ----> uniE054	
57429 ----> uniE055	
57430 ----> uniE056	
57431 ----> uniE057	
57432 ----> uniE058	
57433 ----> uniE059	
57434 ----> uniE05A	
57435 ----> uniE05B	
57436 ----> uniE05C	
57437 ----> uniE05D	
57438 ----> uniE05E	
57439 ----> uniE05F	
57440 ----> uniE060	
57441 ----> uniE061	
57442 ----> uniE062	
57443 ----> uniE063	
57444 ----> uniE064	
57445 ----> uniE065	
57446 ----> uniE066	
57447 ----> uniE067	
57448 ----> uniE068	
57449 ----> uniE069	
57450 ----> uniE06A	
57451 ----> uniE06B	
57452 ----> uniE06C	
57453 ----> uniE06D	
57454 ----> uniE06E	
57455 ----> uniE06F	
57456 ----> uniE070	
57457 ----> uniE071	
57458 ----> uniE072	
57459 ----> uniE073	
57460 ----> uniE074	
57461 ----> uniE075	
57462 ----> uniE076	
57463 ----> uniE077	
57464 ----> uniE078	
57465 ----> uniE079	
57466 ----> uniE07A	
57467 ----> uniE07B	
57468 ----> uniE07C	
57469 ----> uniE07D	
57470 ----> uniE07E	
57471 ----> uniE07F	
57472 ----> uniE080	
57473 ----> uniE081	
57474 ----> uniE082	
57475 ----> uniE083	
57476 ----> uniE084	
57477 ----> uniE085	
57478 ----> uniE086	
57479 ----> uniE087	
57480 ----> uniE088	
57481 ----> uniE089	
57482 ----> uniE08A	
57483 ----> uniE08B	
57484 ----> uniE08C	
57485 ----> uniE08D	
57486 ----> uniE08E	
57487 ----> uniE08F	
57488 ----> uniE090	
57489 ----> uniE091	
57490 ----> uniE092	
57491 ----> uniE093	
57492 ----> uniE094	
57493 ----> uniE095	
57494 ----> uniE096	
57495 ----> uniE097	
57496 ----> uniE098	
57497 ----> uniE099	
57498 ----> uniE09A	
57499 ----> uniE09B	
57500 ----> uniE09C	
57501 ----> uniE09D	
57502 ----> uniE09E	
57503 ----> uniE09F	
57504 ----> uniE0A0	
57505 ----> uniE0A1	
57506 ----> uniE0A2	
57507 ----> uniE0A3	
57508 ----> uniE0A4	
57509 ----> uniE0A5	
57510 ----> uniE0A6	
57511 ----> uniE0A7	
57512 ----> uniE0A8	
57513 ----> uniE0A9	
57514 ----> uniE0AA	
57515 ----> uniE0AB	
57516 ----> uniE0AC	
57517 ----> uniE0AD	
57518 ----> uniE0AE	
57519 ----> uniE0AF	
57520 ----> uniE0B0	
57521 ----> uniE0B1	
57522 ----> uniE0B2	
57523 ----> uniE0B3	
57524 ----> uniE0B4	
57525 ----> uniE0B5	
57526 ----> uniE0B6	
57527 ----> uniE0B7	
57528 ----> uniE0B8	
57529 ----> uniE0B9	
57530 ----> uniE0BA	
57531 ----> uniE0BB	
57532 ----> uniE0BC	
57533 ----> uniE0BD	
57534 ----> uniE0BE	
57535 ----> uniE0BF	
57536 ----> uniE0C0	
57537 ----> uniE0C1	
57538 ----> uniE0C2	
57539 ----> uniE0C3	
57540 ----> uniE0C4	
57541 ----> uniE0C5	
57542 ----> uniE0C6	
57543 ----> uniE0C7	
57544 ----> uniE0C8	
57545 ----> uniE0C9	
57546 ----> uniE0CA	
57547 ----> uniE0CB	
57548 ----> uniE0CC	
57549 ----> uniE0CD	
57550 ----> uniE0CE	
57551 ----> uniE0CF	
57552 ----> uniE0D0	
57553 ----> uniE0D1	
57554 ----> uniE0D2	
57555 ----> uniE0D3	
57556 ----> uniE0D4	
57557 ----> uniE0D5	
57558 ----> uniE0D6	
57559 ----> uniE0D7	
57560 ----> uniE0D8	
57561 ----> uniE0D9	
57562 ----> uniE0DA	
57563 ----> uniE0DB	
57564 ----> uniE0DC	
57565 ----> uniE0DD	
57566 ----> uniE0DE	
57567 ----> uniE0DF	
57568 ----> uniE0E0	
57569 ----> uniE0E1	
57570 ----> uniE0E2	
57571 ----> uniE0E3	
57572 ----> uniE0E4	
57573 ----> uniE0E5	
57574 ----> uniE0E6	
57575 ----> uniE0E7	
57576 ----> uniE0E8	
57577 ----> uniE0E9	
57578 ----> uniE0EA	
57579 ----> uniE0EB	
57580 ----> uniE0EC	
57581 ----> uniE0ED	
57582 ----> uniE0EE	
57583 ----> uniE0EF	
57584 ----> uniE0F0	
57585 ----> uniE0F1	
57586 ----> uniE0F2	
57587 ----> uniE0F3	
57588 ----> uniE0F4	
57589 ----> uniE0F5	
57590 ----> uniE0F6	
57591 ----> uniE0F7	
57592 ----> uniE0F8	
57593 ----> uniE0F9	
57594 ----> uniE0FA	
57595 ----> uniE0FB	
57596 ----> uniE0FC	
57597 ----> uniE0FD	
57598 ----> uniE0FE	
57599 ----> uniE0FF	
57600 ----> uniE100	
57601 ----> uniE101	
57602 ----> uniE102	
57603 ----> uniE103	
57604 ----> uniE104	
57605 ----> uniE105	
57606 ----> uniE106	
57607 ----> uniE107	
57608 ----> uniE108	
57609 ----> uniE109	
57610 ----> uniE10A	
57611 ----> uniE10B	
57612 ----> uniE10C	
57613 ----> uniE10D	
57614 ----> uniE10E	
57615 ----> uniE10F	
57616 ----> uniE110	
57617 ----> uniE111	
57618 ----> uniE112	
57619 ----> uniE113	
57620 ----> uniE114	
57621 ----> uniE115	
57622 ----> uniE116	
57623 ----> uniE117	
57624 ----> uniE118	
57625 ----> uniE119	
57626 ----> uniE11A	
57627 ----> uniE11B	
57628 ----> uniE11C	
57629 ----> uniE11D	
57630 ----> uniE11E	
57631 ----> uniE11F	
57632 ----> uniE120	
57633 ----> uniE121	
57634 ----> uniE122	
57635 ----> uniE123	
57636 ----> uniE124	
57637 ----> uniE125	
57638 ----> uniE126	
57639 ----> uniE127	
57640 ----> uniE128	
57641 ----> uniE129	
57642 ----> uniE12A	
57643 ----> uniE12B	
57644 ----> uniE12C	
57645 ----> uniE12D	
57646 ----> uniE12E	
57647 ----> uniE12F	
57648 ----> uniE130	
57649 ----> uniE131	
57650 ----> uniE132	
57651 ----> uniE133	
57652 ----> uniE134	
57653 ----> uniE135	
57654 ----> uniE136	
57655 ----> uniE137	
57656 ----> uniE138	
57657 ----> uniE139	
57658 ----> uniE13A	
57659 ----> uniE13B	
57660 ----> uniE13C	
57661 ----> uniE13D	
57662 ----> uniE13E	
57663 ----> uniE13F	
57664 ----> uniE140	
57665 ----> uniE141	
57666 ----> uniE142	
57667 ----> uniE143	
57668 ----> uniE144	
57669 ----> uniE145	
57670 ----> uniE146	
57671 ----> uniE147	
57672 ----> uniE148	
57673 ----> uniE149	
57674 ----> uniE14A	
57675 ----> uniE14B	
57676 ----> uniE14C	
57677 ----> uniE14D	
57678 ----> uniE14E	
57679 ----> uniE14F	
57680 ----> uniE150	
57681 ----> uniE151	
57682 ----> uniE152	
57683 ----> uniE153	
57684 ----> uniE154	
57685 ----> uniE155	
57686 ----> uniE156	
57687 ----> uniE157	
57688 ----> uniE158	
57689 ----> uniE159	
57690 ----> uniE15A	
57691 ----> uniE15B	
57692 ----> uniE15C	
57693 ----> uniE15D	
57694 ----> uniE15E	
57695 ----> uniE15F	
57696 ----> uniE160	
57697 ----> uniE161	
57698 ----> uniE162	
57699 ----> uniE163	
57700 ----> uniE164	
57701 ----> uniE165	
57702 ----> uniE166	
57703 ----> uniE167	
57704 ----> uniE168	
57705 ----> uniE169	
57706 ----> uniE16A	
57707 ----> uniE16B	
57708 ----> uniE16C	
57709 ----> uniE16D	
57710 ----> uniE16E	
57711 ----> uniE16F	
57712 ----> uniE170	
57713 ----> uniE171	
57714 ----> uniE172	
57715 ----> uniE173	
57716 ----> uniE174	
57717 ----> uniE175	
57718 ----> uniE176	
57719 ----> uniE177	
57720 ----> uniE178	
57721 ----> uniE179	
57722 ----> uniE17A	
57723 ----> uniE17B	
57724 ----> uniE17C	
57725 ----> uniE17D	
57726 ----> uniE17E	
57727 ----> uniE17F	
57728 ----> uniE180	
57729 ----> uniE181	
57730 ----> uniE182	
57731 ----> uniE183	
57732 ----> uniE184	
57733 ----> uniE185	
57734 ----> uniE186	
57735 ----> uniE187	
57736 ----> uniE188	
57737 ----> uniE189	
57738 ----> uniE18A	
57739 ----> uniE18B	
57740 ----> uniE18C	
57741 ----> uniE18D	
57742 ----> uniE18E	
57743 ----> uniE18F	
57744 ----> uniE190	
57745 ----> uniE191	
57746 ----> uniE192	
57747 ----> uniE193	
57748 ----> uniE194	
57749 ----> uniE195	
57750 ----> uniE196	
57751 ----> uniE197	
57752 ----> uniE198	
57753 ----> uniE199	
57754 ----> uniE19A	
57755 ----> uniE19B	
57756 ----> uniE19C	
57757 ----> uniE19D	
57758 ----> uniE19E	
57759 ----> uniE19F	
57760 ----> uniE1A0	
57761 ----> uniE1A1	
57762 ----> uniE1A2	
57763 ----> uniE1A3	
57764 ----> uniE1A4	
57765 ----> uniE1A5	
57766 ----> uniE1A6	
57767 ----> uniE1A7	
57768 ----> uniE1A8	
57769 ----> uniE1A9	
57770 ----> uniE1AA	
57771 ----> uniE1AB	
57772 ----> uniE1AC	
57773 ----> uniE1AD	
57774 ----> uniE1AE	
57775 ----> uniE1AF	
57776 ----> uniE1B0	
57777 ----> uniE1B1	
57778 ----> uniE1B2	
57779 ----> uniE1B3	
57780 ----> uniE1B4	
57781 ----> uniE1B5	
57782 ----> uniE1B6	
57783 ----> uniE1B7	
57784 ----> uniE1B8	
57785 ----> uniE1B9	
57786 ----> uniE1BA	
57787 ----> uniE1BB	
57788 ----> uniE1BC	
57789 ----> uniE1BD	
57790 ----> uniE1BE	
57791 ----> uniE1BF	
57792 ----> uniE1C0	
57793 ----> uniE1C1	
57794 ----> uniE1C2	
57795 ----> uniE1C3	
57796 ----> uniE1C4	
57797 ----> uniE1C5	
57798 ----> uniE1C6	
57799 ----> uniE1C7	
57800 ----> uniE1C8	
57801 ----> uniE1C9	
57802 ----> uniE1CA	
57803 ----> uniE1CB	
57804 ----> uniE1CC	
57805 ----> uniE1CD	
57806 ----> uniE1CE	
57807 ----> uniE1CF	
57808 ----> uniE1D0	
57809 ----> uniE1D1	
57810 ----> uniE1D2	
57811 ----> uniE1D3	
57812 ----> uniE1D4	
57813 ----> uniE1D5	
57814 ----> uniE1D6	
57815 ----> uniE1D7	
57816 ----> uniE1D8	
57817 ----> uniE1D9	
57818 ----> uniE1DA	
57819 ----> uniE1DB	
57820 ----> uniE1DC	
57821 ----> uniE1DD	
57822 ----> uniE1DE	
57823 ----> uniE1DF	
57824 ----> uniE1E0	
57825 ----> uniE1E1	
57826 ----> uniE1E2	
57827 ----> uniE1E3	
57828 ----> uniE1E4	
57829 ----> uniE1E5	
57830 ----> uniE1E6	
57831 ----> uniE1E7	
57832 ----> uniE1E8	
57833 ----> uniE1E9	
57834 ----> uniE1EA	
57835 ----> uniE1EB	
57836 ----> uniE1EC	
57837 ----> uniE1ED	
57838 ----> uniE1EE	
57839 ----> uniE1EF	
57840 ----> uniE1F0	
57841 ----> uniE1F1	
57842 ----> uniE1F2	
57843 ----> uniE1F3	
57844 ----> uniE1F4	
57845 ----> uniE1F5	
57846 ----> uniE1F6	
57847 ----> uniE1F7	
57848 ----> uniE1F8	
57849 ----> uniE1F9	
57850 ----> uniE1FA	
57851 ----> uniE1FB	
57852 ----> uniE1FC	
57853 ----> uniE1FD	
57854 ----> uniE1FE	
57855 ----> uniE1FF	
57856 ----> uniE200	
57857 ----> uniE201	
57858 ----> uniE202	
57859 ----> uniE203	
57860 ----> uniE204	
57861 ----> uniE205	
57862 ----> uniE206	
57863 ----> uniE207	
57864 ----> uniE208	
57865 ----> uniE209	
57866 ----> uniE20A	
57867 ----> uniE20B	
57868 ----> uniE20C	
57869 ----> uniE20D	
57870 ----> uniE20E	
57871 ----> uniE20F	
57872 ----> uniE210	
57873 ----> uniE211	
57874 ----> uniE212	
57875 ----> uniE213	
57876 ----> uniE214	
57877 ----> uniE215	
57878 ----> uniE216	
57879 ----> uniE217	
57880 ----> uniE218	
57881 ----> uniE219	
57882 ----> uniE21A	
57883 ----> uniE21B	
57884 ----> uniE21C	
57885 ----> uniE21D	
57886 ----> uniE21E	
57887 ----> uniE21F	
57888 ----> uniE220	
57889 ----> uniE221	
57890 ----> uniE222	
57891 ----> uniE223	
57892 ----> uniE224	
57893 ----> uniE225	
57894 ----> uniE226	
57895 ----> uniE227	
57896 ----> uniE228	
57897 ----> uniE229	
57898 ----> uniE22A	
57899 ----> uniE22B	
57900 ----> uniE22C	
57901 ----> uniE22D	
57902 ----> uniE22E	
57903 ----> uniE22F	
57904 ----> uniE230	
57905 ----> uniE231	
57906 ----> uniE232	
57907 ----> uniE233	
57908 ----> uniE234	
57909 ----> uniE235	
57910 ----> uniE236	
57911 ----> uniE237	
57912 ----> uniE238	
57913 ----> uniE239	
57914 ----> uniE23A	
57915 ----> uniE23B	
57916 ----> uniE23C	
57917 ----> uniE23D	
57918 ----> uniE23E	
57919 ----> uniE23F	
57920 ----> uniE240	
57921 ----> uniE241	
57922 ----> uniE242	
57923 ----> uniE243	
57924 ----> uniE244	
57925 ----> uniE245	
57926 ----> uniE246	
57927 ----> uniE247	
57928 ----> uniE248	
57929 ----> uniE249	
57930 ----> uniE24A	
57931 ----> uniE24B	
57932 ----> uniE24C	
57933 ----> uniE24D	
57934 ----> uniE24E	
57935 ----> uniE24F	
57936 ----> uniE250	
57937 ----> uniE251	
57938 ----> uniE252	
57939 ----> uniE253	
57940 ----> uniE254	
57941 ----> uniE255	
57942 ----> uniE256	
57943 ----> uniE257	
57944 ----> uniE258	
57945 ----> uniE259	
57946 ----> uniE25A	
57947 ----> uniE25B	
57948 ----> uniE25C	
57949 ----> uniE25D	
57950 ----> uniE25E	
57951 ----> uniE25F	
57952 ----> uniE260	
57953 ----> uniE261	
57954 ----> uniE262	
57955 ----> uniE263	
57956 ----> uniE264	
57957 ----> uniE265	
57958 ----> uniE266	
57959 ----> uniE267	
57960 ----> uniE268	
57961 ----> uniE269	
57962 ----> uniE26A	
57963 ----> uniE26B	
57964 ----> uniE26C	
57965 ----> uniE26D	
57966 ----> uniE26E	
57967 ----> uniE26F	
57968 ----> uniE270	
57969 ----> uniE271	
57970 ----> uniE272	
57971 ----> uniE273	
57972 ----> uniE274	
57973 ----> uniE275	
57974 ----> uniE276	
57975 ----> uniE277	
57976 ----> uniE278	
57977 ----> uniE279	
57978 ----> uniE27A	
57979 ----> uniE27B	
57980 ----> uniE27C	
57981 ----> uniE27D	
57982 ----> uniE27E	
57983 ----> uniE27F	
57984 ----> uniE280	
57985 ----> uniE281	
57986 ----> uniE282	
57987 ----> uniE283	
57988 ----> uniE284	
57989 ----> uniE285	
57990 ----> uniE286	
57991 ----> uniE287	
57992 ----> uniE288	
57993 ----> uniE289	
57994 ----> uniE28A	
57995 ----> uniE28B	
57996 ----> uniE28C	
57997 ----> uniE28D	
57998 ----> uniE28E	
57999 ----> uniE28F	
58000 ----> uniE290	
58001 ----> uniE291	
58002 ----> uniE292	
58003 ----> uniE293	
58004 ----> uniE294	
58005 ----> uniE295	
58006 ----> uniE296	
58007 ----> uniE297	
58008 ----> uniE298	
58009 ----> uniE299	
58010 ----> uniE29A	
58011 ----> uniE29B	
58012 ----> uniE29C	
58013 ----> uniE29D	
58014 ----> uniE29E	
58015 ----> uniE29F	
58016 ----> uniE2A0	
58017 ----> uniE2A1	
58018 ----> uniE2A2	
58019 ----> uniE2A3	
58020 ----> uniE2A4	
58021 ----> uniE2A5	
58022 ----> uniE2A6	
58023 ----> uniE2A7	
58024 ----> uniE2A8	
58025 ----> uniE2A9	
58026 ----> uniE2AA	
58027 ----> uniE2AB	
58028 ----> uniE2AC	
58029 ----> uniE2AD	
58030 ----> uniE2AE	
58031 ----> uniE2AF	
58032 ----> uniE2B0	
58033 ----> uniE2B1	
58034 ----> uniE2B2	
58035 ----> uniE2B3	
58036 ----> uniE2B4	
58037 ----> uniE2B5	
58038 ----> uniE2B6	
58039 ----> uniE2B7	
58040 ----> uniE2B8	
58041 ----> uniE2B9	
58042 ----> uniE2BA	
58043 ----> uniE2BB	
58044 ----> uniE2BC	
58045 ----> uniE2BD	
58046 ----> uniE2BE	
58047 ----> uniE2BF	
58048 ----> uniE2C0	
58049 ----> uniE2C1	
58050 ----> uniE2C2	
58051 ----> uniE2C3	
58052 ----> uniE2C4	
58053 ----> uniE2C5	
58054 ----> uniE2C6	
58055 ----> uniE2C7	
58056 ----> uniE2C8	
58057 ----> uniE2C9	
58058 ----> uniE2CA	
58059 ----> uniE2CB	
58060 ----> uniE2CC	
58061 ----> uniE2CD	
58062 ----> uniE2CE	
58063 ----> uniE2CF	
58064 ----> uniE2D0	
58065 ----> uniE2D1	
58066 ----> uniE2D2	
58067 ----> uniE2D3	
58068 ----> uniE2D4	
58069 ----> uniE2D5	
58070 ----> uniE2D6	
58071 ----> uniE2D7	
58072 ----> uniE2D8	
58073 ----> uniE2D9	
58074 ----> uniE2DA	
58075 ----> uniE2DB	
58076 ----> uniE2DC	
58077 ----> uniE2DD	
58078 ----> uniE2DE	
58079 ----> uniE2DF	
58080 ----> uniE2E0	
58081 ----> uniE2E1	
58082 ----> uniE2E2	
58083 ----> uniE2E3	
58084 ----> uniE2E4	
58085 ----> uniE2E5	
58086 ----> uniE2E6	
58087 ----> uniE2E7	
58088 ----> uniE2E8	
58089 ----> uniE2E9	
58090 ----> uniE2EA	
58091 ----> uniE2EB	
58092 ----> uniE2EC	
58093 ----> uniE2ED	
58094 ----> uniE2EE	
58095 ----> uniE2EF	
58096 ----> uniE2F0	
58097 ----> uniE2F1	
58098 ----> uniE2F2	
58099 ----> uniE2F3	
58100 ----> uniE2F4	
58101 ----> uniE2F5	
58102 ----> uniE2F6	
58103 ----> uniE2F7	
58104 ----> uniE2F8	
58105 ----> uniE2F9	
58106 ----> uniE2FA	
58107 ----> uniE2FB	
58108 ----> uniE2FC	
58109 ----> uniE2FD	
58110 ----> uniE2FE	
58111 ----> uniE2FF	
58112 ----> uniE300	
58113 ----> uniE301	
58114 ----> uniE302	
58115 ----> uniE303	
58116 ----> uniE304	
58117 ----> uniE305	
58118 ----> uniE306	
58119 ----> uniE307	
58120 ----> uniE308	
58121 ----> uniE309	
58122 ----> uniE30A	
58123 ----> uniE30B	
58124 ----> uniE30C	
58125 ----> uniE30D	
58126 ----> uniE30E	
58127 ----> uniE30F	
58128 ----> uniE310	
58129 ----> uniE311	
58130 ----> uniE312	
58131 ----> uniE313	
58132 ----> uniE314	
58133 ----> uniE315	
58134 ----> uniE316	
58135 ----> uniE317	
58136 ----> uniE318	
58137 ----> uniE319	
58138 ----> uniE31A	
58139 ----> uniE31B	
58140 ----> uniE31C	
58141 ----> uniE31D	
58142 ----> uniE31E	
58143 ----> uniE31F	
58144 ----> uniE320	
58145 ----> uniE321	
58146 ----> uniE322	
58147 ----> uniE323	
58148 ----> uniE324	
58149 ----> uniE325	
58150 ----> uniE326	
58151 ----> uniE327	
58152 ----> uniE328	
58153 ----> uniE329	
58154 ----> uniE32A	
58155 ----> uniE32B	
58156 ----> uniE32C	
58157 ----> uniE32D	
58158 ----> uniE32E	
58159 ----> uniE32F	
58160 ----> uniE330	
58161 ----> uniE331	
58162 ----> uniE332	
58163 ----> uniE333	
58164 ----> uniE334	
58165 ----> uniE335	
58166 ----> uniE336	
58167 ----> uniE337	
58168 ----> uniE338	
58169 ----> uniE339	
58170 ----> uniE33A	
58171 ----> uniE33B	
58172 ----> uniE33C	
58173 ----> uniE33D	
58174 ----> uniE33E	
58175 ----> uniE33F	
58176 ----> uniE340	
58177 ----> uniE341	
58178 ----> uniE342	
58179 ----> uniE343	
58180 ----> uniE344	
58181 ----> uniE345	
58182 ----> uniE346	
58183 ----> uniE347	
58184 ----> uniE348	
58185 ----> uniE349	
58186 ----> uniE34A	
58187 ----> uniE34B	
58188 ----> uniE34C	
58189 ----> uniE34D	
58190 ----> uniE34E	
58191 ----> uniE34F	
58192 ----> uniE350	
58193 ----> uniE351	
58194 ----> uniE352	
58195 ----> uniE353	
58196 ----> uniE354	
58197 ----> uniE355	
58198 ----> uniE356	
58199 ----> uniE357	
58200 ----> uniE358	
58201 ----> uniE359	
58202 ----> uniE35A	
58203 ----> uniE35B	
58204 ----> uniE35C	
58205 ----> uniE35D	
58206 ----> uniE35E	
58207 ----> uniE35F	
58208 ----> uniE360	
58209 ----> uniE361	
58210 ----> uniE362	
58211 ----> uniE363	
58212 ----> uniE364	
58213 ----> uniE365	
58214 ----> uniE366	
58215 ----> uniE367	
58216 ----> uniE368	
58217 ----> uniE369	
58218 ----> uniE36A	
58219 ----> uniE36B	
58220 ----> uniE36C	
58221 ----> uniE36D	
58222 ----> uniE36E	
58223 ----> uniE36F	
58224 ----> uniE370	
58225 ----> uniE371	
58226 ----> uniE372	
58227 ----> uniE373	
58228 ----> uniE374	
58229 ----> uniE375	
58230 ----> uniE376	
58231 ----> uniE377	
58232 ----> uniE378	
58233 ----> uniE379	
58234 ----> uniE37A	
58235 ----> uniE37B	
58236 ----> uniE37C	
58237 ----> uniE37D	
58238 ----> uniE37E	
58239 ----> uniE37F	
58240 ----> uniE380	
58241 ----> uniE381	
58242 ----> uniE382	
58243 ----> uniE383	
58244 ----> uniE384	
58245 ----> uniE385	
58246 ----> uniE386	
58247 ----> uniE387	
58248 ----> uniE388	
